date,dofw,name,type
2020-05-07,Thursday,Buddha Purnima/Vesak,Gazetted Holiday
2020-05-25,Monday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
2020-08-01,Saturday,Bakr Id/Eid ul-Adha,Gazetted Holiday
2020-08-12,Wednesday,Janmashtami,Gazetted Holiday
2020-08-15,Saturday,Independence Day,Gazetted Holiday
2020-08-30,Sunday,Muharram/Ashura,Gazetted Holiday
2020-10-02,Friday,Mahatma Gandhi Jayanti,Gazetted Holiday
2020-10-25,Sunday,Dussehra,Gazetted Holiday
2020-10-30,Friday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2020-11-14,Saturday,Diwali/Deepavali,Gazetted Holiday
2020-11-30,Monday,Guru Nanak Jayanti,Gazetted Holiday
2020-12-25,Friday,Christmas,Gazetted Holiday
