date,location,pushes
2019-06-17,"Seattle, WA",3058
2019-06-18,"Seattle, WA",3006
2019-06-19,"Seattle, WA",2877
2019-06-20,"Seattle, WA",2713
2019-06-21,"Seattle, WA",2567
2019-06-22,"Seattle, WA",1411
2019-06-23,"Seattle, WA",1452
2019-06-24,"Seattle, WA",2699
2019-06-25,"Seattle, WA",2847
2019-06-26,"Seattle, WA",2701
2019-06-27,"Seattle, WA",2737
2019-06-28,"Seattle, WA",2254
2019-06-29,"Seattle, WA",1211
2019-06-30,"Seattle, WA",1236
2019-07-01,"Seattle, WA",2725
2019-07-02,"Seattle, WA",2865
2019-07-03,"Seattle, WA",2730
2019-07-04,"Seattle, WA",1246
2019-07-05,"Seattle, WA",1663
2019-07-06,"Seattle, WA",1212
2019-07-07,"Seattle, WA",1414
2019-07-08,"Seattle, WA",2665
2019-07-09,"Seattle, WA",2898
2019-07-10,"Seattle, WA",2985
2019-07-11,"Seattle, WA",2873
2019-07-12,"Seattle, WA",2192
2019-07-13,"Seattle, WA",1332
2019-07-14,"Seattle, WA",1734
2019-07-15,"Seattle, WA",3059
2019-07-16,"Seattle, WA",2763
2019-07-17,"Seattle, WA",2863
2019-07-18,"Seattle, WA",2739
2019-07-19,"Seattle, WA",2238
2019-07-20,"Seattle, WA",1223
2019-07-21,"Seattle, WA",1332
2019-07-22,"Seattle, WA",2783
2019-07-23,"Seattle, WA",2990
2019-07-24,"Seattle, WA",2749
2019-07-25,"Seattle, WA",3007
2019-07-26,"Seattle, WA",2497
2019-07-27,"Seattle, WA",1263
2019-07-28,"Seattle, WA",1414
2019-07-29,"Seattle, WA",2539
2019-07-30,"Seattle, WA",3144
2019-07-31,"Seattle, WA",2805
2019-08-01,"Seattle, WA",2586
2019-08-02,"Seattle, WA",2410
2019-08-03,"Seattle, WA",1232
2019-08-04,"Seattle, WA",1441
2019-08-05,"Seattle, WA",2682
2019-08-06,"Seattle, WA",2853
2019-08-07,"Seattle, WA",2726
2019-08-08,"Seattle, WA",2825
2019-08-09,"Seattle, WA",2439
2019-08-10,"Seattle, WA",1251
2019-08-11,"Seattle, WA",1329
2019-08-12,"Seattle, WA",2900
2019-08-13,"Seattle, WA",2889
2019-08-14,"Seattle, WA",2738
2019-08-15,"Seattle, WA",2786
2019-08-16,"Seattle, WA",2992
2019-08-17,"Seattle, WA",1443
2019-08-18,"Seattle, WA",1309
2019-08-19,"Seattle, WA",2561
2019-08-20,"Seattle, WA",3157
2019-08-21,"Seattle, WA",2943
2019-08-22,"Seattle, WA",2762
2019-08-23,"Seattle, WA",2554
2019-08-24,"Seattle, WA",1263
2019-08-25,"Seattle, WA",1380
2019-08-26,"Seattle, WA",3032
2019-08-27,"Seattle, WA",2748
2019-08-28,"Seattle, WA",2591
2019-08-29,"Seattle, WA",2743
2019-08-30,"Seattle, WA",2440
2019-08-31,"Seattle, WA",1132
2019-09-01,"Seattle, WA",1161
2019-09-02,"Seattle, WA",1188
2019-09-03,"Seattle, WA",2586
2019-09-04,"Seattle, WA",2549
2019-09-05,"Seattle, WA",2280
2019-09-06,"Seattle, WA",2496
2019-09-07,"Seattle, WA",1071
2019-09-08,"Seattle, WA",1276
2019-09-09,"Seattle, WA",2637
2019-09-10,"Seattle, WA",2701
2019-09-11,"Seattle, WA",2624
2019-09-12,"Seattle, WA",47
2019-09-13,"Seattle, WA",2335
2019-09-14,"Seattle, WA",1517
2019-09-15,"Seattle, WA",1555
2019-09-16,"Seattle, WA",3098
2019-09-17,"Seattle, WA",3224
2019-09-18,"Seattle, WA",3068
2019-09-19,"Seattle, WA",2588
2019-09-20,"Seattle, WA",2427
2019-09-21,"Seattle, WA",1567
2019-09-22,"Seattle, WA",1515
2019-09-23,"Seattle, WA",2549
2019-09-24,"Seattle, WA",2752
2019-09-25,"Seattle, WA",3068
2019-09-26,"Seattle, WA",2954
2019-09-27,"Seattle, WA",2464
2019-09-28,"Seattle, WA",1078
2019-09-29,"Seattle, WA",1376
2019-09-30,"Seattle, WA",2773
2019-10-01,"Seattle, WA",2937
2019-10-02,"Seattle, WA",2736
2019-10-03,"Seattle, WA",2715
2019-10-04,"Seattle, WA",2394
2019-10-05,"Seattle, WA",1138
2019-10-06,"Seattle, WA",1201
2019-10-07,"Seattle, WA",2675
2019-10-08,"Seattle, WA",2495
2019-10-09,"Seattle, WA",2873
2019-10-10,"Seattle, WA",2671
2019-10-11,"Seattle, WA",2514
2019-10-12,"Seattle, WA",1398
2019-10-13,"Seattle, WA",1451
2019-10-14,"Seattle, WA",2827
2019-10-15,"Seattle, WA",2812
2019-10-16,"Seattle, WA",2553
2019-10-17,"Seattle, WA",3073
2019-10-18,"Seattle, WA",2778
2019-10-19,"Seattle, WA",1424
2019-10-20,"Seattle, WA",1448
2019-10-21,"Seattle, WA",2872
2019-10-22,"Seattle, WA",2982
2019-10-23,"Seattle, WA",2988
2019-10-24,"Seattle, WA",2717
2019-10-25,"Seattle, WA",2826
2019-10-26,"Seattle, WA",1242
2019-10-27,"Seattle, WA",1344
2019-10-28,"Seattle, WA",2868
2019-10-29,"Seattle, WA",2634
2019-10-30,"Seattle, WA",2667
2019-10-31,"Seattle, WA",2713
2019-11-01,"Seattle, WA",2569
2019-11-02,"Seattle, WA",1478
2019-11-03,"Seattle, WA",1486
2019-11-04,"Seattle, WA",2710
2019-11-05,"Seattle, WA",2807
2019-11-06,"Seattle, WA",2875
2019-11-07,"Seattle, WA",2924
2019-11-08,"Seattle, WA",2768
2019-11-09,"Seattle, WA",1530
2019-11-10,"Seattle, WA",1452
2019-11-11,"Seattle, WA",2950
2019-11-12,"Seattle, WA",2764
2019-11-13,"Seattle, WA",2845
2019-11-14,"Seattle, WA",2965
2019-11-15,"Seattle, WA",2622
2019-11-16,"Seattle, WA",1408
2019-11-17,"Seattle, WA",1549
2019-11-18,"Seattle, WA",2744
2019-11-19,"Seattle, WA",2956
2019-11-20,"Seattle, WA",3013
2019-11-21,"Seattle, WA",2885
2019-11-22,"Seattle, WA",2486
