date,location,pushes
2020-12-23,"Seattle, WA",1814
2020-12-24,"Seattle, WA",1107
2020-12-25,"Seattle, WA",704
2020-12-26,"Seattle, WA",991
2020-12-27,"Seattle, WA",1337
2020-12-28,"Seattle, WA",1647
2020-12-29,"Seattle, WA",1883
2020-12-30,"Seattle, WA",1852
2020-12-31,"Seattle, WA",1407
2020-12-31,"Seattle, WA",494
2021-01-01,"Seattle, WA",1209
2021-01-02,"Seattle, WA",1225
2021-01-03,"Seattle, WA",1281
2021-01-04,"Seattle, WA",2342
2021-01-05,"Seattle, WA",2144
2021-01-06,"Seattle, WA",1907
2021-01-07,"Seattle, WA",1986
2021-01-08,"Seattle, WA",2134
2021-01-09,"Seattle, WA",1109
2021-01-10,"Seattle, WA",1497
2021-01-11,"Seattle, WA",2474
2021-01-12,"Seattle, WA",2387
2021-01-13,"Seattle, WA",2106
2021-01-14,"Seattle, WA",2395
2021-01-15,"Seattle, WA",1869
2021-01-16,"Seattle, WA",1327
2021-01-17,"Seattle, WA",1121
2021-01-18,"Seattle, WA",1770
2021-01-19,"Seattle, WA",2437
2021-01-20,"Seattle, WA",2137
2021-01-21,"Seattle, WA",2414
2021-01-22,"Seattle, WA",1979
2021-01-23,"Seattle, WA",1342
2021-01-24,"Seattle, WA",1681
2021-01-25,"Seattle, WA",2524
2021-01-26,"Seattle, WA",2426
2021-01-27,"Seattle, WA",2444
2021-01-28,"Seattle, WA",2236
2021-01-29,"Seattle, WA",2254
2021-01-30,"Seattle, WA",1396
2021-01-31,"Seattle, WA",1811
2021-02-01,"Seattle, WA",2489
2021-02-02,"Seattle, WA",2685
2021-02-03,"Seattle, WA",2551
2021-02-04,"Seattle, WA",2435
2021-02-05,"Seattle, WA",2425
2021-02-06,"Seattle, WA",1603
2021-02-07,"Seattle, WA",1281
2021-02-08,"Seattle, WA",2170
2021-02-09,"Seattle, WA",2561
2021-02-10,"Seattle, WA",2440
2021-02-11,"Seattle, WA",2358
2021-02-12,"Seattle, WA",2187
2021-02-13,"Seattle, WA",1525
2021-02-14,"Seattle, WA",1662
2021-02-15,"Seattle, WA",2115
2021-02-16,"Seattle, WA",2564
2021-02-17,"Seattle, WA",2424
2021-02-18,"Seattle, WA",2303
2021-02-19,"Seattle, WA",2173
2021-02-20,"Seattle, WA",1429
2021-02-21,"Seattle, WA",1518
2021-02-22,"Seattle, WA",2526
2021-02-23,"Seattle, WA",2862
2021-02-24,"Seattle, WA",2282
2021-02-25,"Seattle, WA",2580
2021-02-26,"Seattle, WA",2051
2021-02-27,"Seattle, WA",1193
2021-02-28,"Seattle, WA",782
